    0.167780   -1.992950   -0.569382   -3.852141
    0.227671   -1.986999   -0.631403   -3.793097
    0.283104   -1.979862   -0.689707   -3.727328
    0.333989   -1.971916   -0.744392   -3.656283
    0.380432   -1.963485   -0.795641   -3.581153
    0.422639   -1.954834   -0.843666   -3.502888
    0.460860   -1.946178   -0.888680   -3.422234
    0.495350   -1.937686   -0.930883   -3.339778
    0.526354   -1.929495   -0.970452   -3.255984
    0.554097   -1.921712   -1.007544   -3.171223
    0.578781   -1.914422   -1.042296   -3.085792
    0.600587   -1.907694   -1.074824   -2.999938
    0.619673   -1.901580   -1.105228   -2.913862
    0.636178   -1.896122   -1.133594   -2.827736
    0.650224   -1.891351   -1.159995   -2.741707
    0.661918   -1.887290   -1.184494   -2.655901
    0.671354   -1.883954   -1.207143   -2.570430
    0.678612   -1.881352   -1.227990   -2.485394
    0.683766   -1.879485   -1.247074   -2.400884
    0.686877   -1.878350   -1.264430   -2.316983
    0.688003   -1.877938   -1.280089   -2.233768
    0.687192   -1.878235   -1.294078   -2.151312
    0.684489   -1.879222   -1.306421   -2.069684
    0.679934   -1.880875   -1.317144   -1.988950
    0.673563   -1.883165   -1.326267   -1.909174
    0.665411   -1.886062   -1.333815   -1.830418
    0.655509   -1.889526   -1.339808   -1.752742
    0.643888   -1.893517   -1.344271   -1.676203
    0.630577   -1.897992   -1.347227   -1.600859
    0.615608   -1.902900   -1.348705   -1.526765
    0.599009   -1.908190   -1.348730   -1.453974
    0.580812   -1.913807   -1.347335   -1.382538
    0.561051   -1.919693   -1.344553   -1.312506
    0.539758   -1.925788   -1.340418   -1.243926
    0.516972   -1.932030   -1.334971   -1.176842
    0.492730   -1.938354   -1.328252   -1.111297
    0.467074   -1.944696   -1.320307   -1.047328
    0.440048   -1.950989   -1.311182   -0.984970
    0.411701   -1.957167   -1.300928   -0.924256
    0.382081   -1.963164   -1.289596   -0.865213
    0.351242   -1.968916   -1.277240   -0.807863
    0.319241   -1.974357   -1.263918   -0.752225
    0.286136   -1.979426   -1.249686   -0.698313
    0.251990   -1.984062   -1.234602   -0.646137
    0.216865   -1.988208   -1.218727   -0.595701
    0.180830   -1.991808   -1.202118   -0.547006
    0.143951   -1.994813   -1.184836   -0.500047
    0.106301   -1.997173   -1.166938   -0.454817
    0.067949   -1.998845   -1.148481   -0.411301
    0.028969   -1.999790   -1.129522   -0.369484
   -0.010567   -1.999972   -1.110113   -0.329344
   -0.050584   -1.999360   -1.090306   -0.290859
   -0.091009   -1.997928   -1.070150   -0.254001
   -0.131769   -1.995654   -1.049691   -0.218742
   -0.172792   -1.992522   -1.028974   -0.185050
   -0.214006   -1.988517   -1.008037   -0.152893
   -0.255341   -1.983633   -0.986918   -0.122237
   -0.296728   -1.977866   -0.965651   -0.093047
   -0.338101   -1.971215   -0.944266   -0.065287
   -0.379394   -1.963685   -0.922792   -0.038921
   -0.420547   -1.955285   -0.901252   -0.013914
   -0.461499   -1.946026   -0.879668    0.009769
   -0.502192   -1.935924   -0.858058    0.032161
   -0.542572   -1.924998   -0.836438    0.053295
   -0.582588   -1.913267   -0.814820    0.073204
   -0.622190   -1.900758   -0.793217    0.091916
   -0.661333   -1.887495   -0.771637    0.109461
   -0.699974   -1.873509   -0.750085    0.125863
   -0.738074   -1.858829   -0.728568    0.141148
   -0.775596   -1.843489   -0.707089    0.155338
   -0.812505   -1.827522   -0.685651    0.168451
   -0.848772   -1.810963   -0.664254    0.180507
   -0.884368   -1.793849   -0.642899    0.191521
   -0.919269   -1.776216   -0.621586    0.201506
   -0.953452   -1.758104   -0.600314    0.210473
   -0.986899   -1.739549   -0.579082    0.218431
   -1.019591   -1.720591   -0.557890    0.225387
   -1.051515   -1.701269   -0.536736    0.231346
   -1.082658   -1.681621   -0.515620    0.236312
   -1.113012   -1.661687   -0.494541    0.240284
   -1.142569   -1.641504   -0.473500    0.243263
